NomeProduto,Categoria,QuantidadeEstoque,Valor
Smartphone Samsung Galaxy S21,Celular,50,4999.9
Notebook Dell Inspiron 15,Computador,30,3499.0
Televisão LG 55 4K,Televisão,20,2999.99
Fone de Ouvido Sony WH-1000XM4,Áudio,40,1999.0
Console PlayStation 5,Videogame,15,4999.0
Câmera Canon EOS Rebel T7,Câmera,10,2499.0
Impressora HP DeskJet 2722,Impressora,25,499.9
Roteador TP-Link Archer A7,Rede,60,299.0
Caixa de Som JBL Flip 5,áudio,35,899.9
Tablet Apple iPad 10.2",Tablet,20,2999.0
Smartwatch Samsung Galaxy Watch 4,Acessórios,30,1299.0
Microfone Blue Yeti,áudio,15,699.0
Monitor LG 27 Full HD,Monitor,25,1099.0
Teclado Mecânico Razer BlackWidow,Acessórios,50,499.0
Mouse Logitech G502,Acessórios,45,399.0
Projetor Epson Home Cinema,Projetor,10,2499.0
HD Externo Seagate 2TB,Armazenamento,60,699.9
SSD Samsung 970 EVO 1TB,Armazenamento,40,799.9
Fone de Ouvido Apple AirPods Pro,Áudio,30,1299.0
Câmera de Segurança TP-Link Tapo C200,Segurança,20,499.9
Mochila para Notebook Lenovo,Acessórios,25,199.9
Teclado e Mouse Logitech MK270,Acessórios,35,299.0
Caixa de Som Bluetooth Anker Soundcore,Áudio,30,399.9
Monitor Gamer AOC 24'',Monitor,25,899.0
Câmera Fujifilm Instax Mini 11,Câmera,15,699.0
Kit de Microfone para Streaming,Áudio,20,599.0
Sistema de Som Philco,Áudio,10,1399.0
Fone de Ouvido Sem Fio Bose QuietComfort,Áudio,10,2399.0
Placa de Vídeo NVIDIA GeForce RTX 3060,Computador,5,2999.0
Desktop HP Pavilion,Computador,12,3999.0
Smartphone Xiaomi Redmi Note 10,Celular,45,1499.9
Roteador Wi-Fi Mesh TP-Link Deco M5,Rede,15,799.0
Camcorder Panasonic HC-VX981K,Câmera,5,3499.0
Console Xbox Series X,Videogame,10,4999.0
Fonte de Alimentação Corsair RM850x,Computador,20,899.0
Caixa de Som JBL Charge 4,Áudio,25,899.9
Impressora Multifuncional Brother,Impressora,15,899.0
Câmera GoPro Hero 9,Cãmera,8,3199.0
Cartãoo de Memória SanDisk Ultra 64GB,Armazenamento,50,199.9
Smartphone Motorola Moto G100,Celular,40,2499.0
Cabo HDMI Amazon Basics,Acessórios,100,49.9
Monitor Samsung 32 Curvo,Monitor,20,1599.0
Teclado Gamer HyperX Alloy FPS,Acessórios,30,499.9
Headset HyperX Cloud II,Áudio,20,599.9
Tablet Samsung Galaxy Tab S7,Tablet,10,2999.0
Smartphone Asus Zenfone 8,Celular,30,3499.0
